Target: SAT

Pass Number     Observer     Time (UTCGregorian)          Azimuth (deg)     Elevation (deg)     Range (km)      
-----------     --------     ------------------------     -------------     ---------------     -----------     
1               GSC2         16 Jul 2025 00:00:59.671     276.164964        5.000000            2219.282326     
1               GSC2         16 Jul 2025 00:01:04.671     276.415299        5.355600            2188.015259     
1               GSC2         16 Jul 2025 00:01:09.671     276.673153        5.716994            2156.803035     
1               GSC2         16 Jul 2025 00:01:14.671     276.938870        6.084404            2125.649194     
1               GSC2         16 Jul 2025 00:01:19.671     277.212818        6.458064            2094.557462     
1               GSC2         16 Jul 2025 00:01:24.671     277.495391        6.838223            2063.531224     
1               GSC2         16 Jul 2025 00:01:29.671     277.787008        7.225146            2032.573969     
1               GSC2         16 Jul 2025 00:01:34.671     278.088110        7.619101            2001.690013     
1               GSC2         16 Jul 2025 00:01:39.671     278.399165        8.020367            1970.883911     
1               GSC2         16 Jul 2025 00:01:44.671     278.720676        8.429245            1940.159944     
1               GSC2         16 Jul 2025 00:01:49.671     279.053184        8.846049            1909.522567     
1               GSC2         16 Jul 2025 00:01:54.671     279.397255        9.271101            1878.977112     
1               GSC2         16 Jul 2025 00:01:59.671     279.753494        9.704736            1848.529243     
1               GSC2         16 Jul 2025 00:02:04.671     280.122554        10.147312           1818.184424     
1               GSC2         16 Jul 2025 00:02:09.671     280.505137        10.599201           1787.948386     
1               GSC2         16 Jul 2025 00:02:14.671     280.901983        11.060787           1757.827829     
1               GSC2         16 Jul 2025 00:02:19.671     281.313885        11.532468           1727.829880     
1               GSC2         16 Jul 2025 00:02:24.671     281.741700        12.014662           1697.961598     
1               GSC2         16 Jul 2025 00:02:29.671     282.186352        12.507810           1668.230416     
1               GSC2         16 Jul 2025 00:02:34.671     282.648820        13.012357           1638.644874     
1               GSC2         16 Jul 2025 00:02:39.671     283.130158        13.528765           1609.214069     
1               GSC2         16 Jul 2025 00:02:44.671     283.631508        14.057515           1579.947198     
1               GSC2         16 Jul 2025 00:02:49.671     284.154101        14.599109           1550.854005     
1               GSC2         16 Jul 2025 00:02:54.671     284.699252        15.154047           1521.945502     
1               GSC2         16 Jul 2025 00:02:59.671     285.268377        15.722844           1493.233461     
1               GSC2         16 Jul 2025 00:03:04.671     285.863016        16.306025           1464.729967     
1               GSC2         16 Jul 2025 00:03:09.671     286.484833        16.904128           1436.447888     
1               GSC2         16 Jul 2025 00:03:14.671     287.135612        17.517677           1408.401585     
1               GSC2         16 Jul 2025 00:03:19.671     287.817280        18.147191           1380.606447     
1               GSC2         16 Jul 2025 00:03:24.671     288.531934        18.793188           1353.078462     
1               GSC2         16 Jul 2025 00:03:29.671     289.281845        19.456168           1325.834708     
1               GSC2         16 Jul 2025 00:03:34.671     290.069452        20.136590           1298.894061     
1               GSC2         16 Jul 2025 00:03:39.671     290.897395        20.834871           1272.276751     
1               GSC2         16 Jul 2025 00:03:44.671     291.768541        21.551380           1246.003988     
1               GSC2         16 Jul 2025 00:03:49.671     292.685998        22.286418           1220.098446     
1               GSC2         16 Jul 2025 00:03:54.671     293.653102        23.040177           1194.584967     
1               GSC2         16 Jul 2025 00:03:59.671     294.673452        23.812729           1169.490128     
1               GSC2         16 Jul 2025 00:04:04.671     295.750943        24.604008           1144.841916     
1               GSC2         16 Jul 2025 00:04:09.671     296.889772        25.413771           1120.670196     
1               GSC2         16 Jul 2025 00:04:14.671     298.094417        26.241539           1097.007353     
1               GSC2         16 Jul 2025 00:04:19.671     299.369658        27.086562           1073.887875     
1               GSC2         16 Jul 2025 00:04:24.671     300.720609        27.947789           1051.348025     
1               GSC2         16 Jul 2025 00:04:29.671     302.152684        28.823794           1029.426245     
1               GSC2         16 Jul 2025 00:04:34.671     303.671543        29.712700           1008.163656     
1               GSC2         16 Jul 2025 00:04:39.671     305.283072        30.612122           987.603595      
1               GSC2         16 Jul 2025 00:04:44.671     306.993349        31.519112           967.791200      
1               GSC2         16 Jul 2025 00:04:49.671     308.808537        32.430073           948.773638      
1               GSC2         16 Jul 2025 00:04:54.671     310.734710        33.340677           930.600334      
1               GSC2         16 Jul 2025 00:04:59.671     312.777709        34.245812           913.322333      
1               GSC2         16 Jul 2025 00:05:04.671     314.942970        35.139549           896.991671      
1               GSC2         16 Jul 2025 00:05:09.671     317.235229        36.015108           881.661257      
1               GSC2         16 Jul 2025 00:05:14.671     319.658132        36.864844           867.384696      
1               GSC2         16 Jul 2025 00:05:19.671     322.213898        37.680313           854.215320      
1               GSC2         16 Jul 2025 00:05:24.671     324.902949        38.452384           842.205290      
1               GSC2         16 Jul 2025 00:05:29.671     327.723441        39.171390           831.405047      
1               GSC2         16 Jul 2025 00:05:34.671     330.670767        39.827351           821.862686      
1               GSC2         16 Jul 2025 00:05:39.671     333.737237        40.410289           813.622780      
1               GSC2         16 Jul 2025 00:05:44.671     336.911890        40.910591           806.725364      
1               GSC2         16 Jul 2025 00:05:49.671     340.180373        41.319410           801.205226      
1               GSC2         16 Jul 2025 00:05:54.671     343.524999        41.629079           797.091187      
1               GSC2         16 Jul 2025 00:05:59.671     346.925205        41.833523           794.405209      
1               GSC2         16 Jul 2025 00:06:04.671     350.358261        41.928601           793.161809      
1               GSC2         16 Jul 2025 00:06:09.671     353.800080        41.912348           793.367800      
1               GSC2         16 Jul 2025 00:06:14.671     357.226137        41.785097           795.022055      
1               GSC2         16 Jul 2025 00:06:19.671     0.612573          41.549466           798.115475      
1               GSC2         16 Jul 2025 00:06:24.671     3.937220          41.210183           802.631324      
1               GSC2         16 Jul 2025 00:06:29.671     7.180359          40.773815           808.545701      
1               GSC2         16 Jul 2025 00:06:34.671     10.325218         40.248416           815.827998      
1               GSC2         16 Jul 2025 00:06:39.671     13.358358         39.643108           824.441669      
1               GSC2         16 Jul 2025 00:06:44.671     16.269797         38.967648           834.345282      
1               GSC2         16 Jul 2025 00:06:49.671     19.052830         38.232036           845.493366      
1               GSC2         16 Jul 2025 00:06:54.671     21.703668         37.446196           857.837026      
1               GSC2         16 Jul 2025 00:06:59.671     24.221117         36.619676           871.324985      
